name,metric,weight,roles
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Associate Manager II
Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Manager II
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Associate Manager II
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Manager II
Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Consultant II
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Sr Consultant II
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Sr Consultant II
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Sr Consultant II
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Consultant II
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Sr Consultant II
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Sr Consultant II
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Consultant II
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Sr Consultant II
Margins/Optimizations - Attrition,Attrition Percentage,,Sr Consultant II
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Sr Consultant II
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Sr Consultant II
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Sr Consultant II
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Sr Consultant II
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Sr Consultant II
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Sr Consultant II
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Sr Consultant II
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Sr Consultant II
Employee Experience - Employee Satisfaction,ESAT Index,5,Sr Consultant II
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Sr Consultant II
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Sr Consultant II
Customer Delight - Customer Satisfaction,CSAT Index,15,Associate Manager I
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Manager I
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Manager I
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Manager I
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Manager I
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Manager I
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Manager I
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Manager I
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Manager I
Margins/Optimizations - Attrition,Attrition Percentage,,Associate Manager I
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Manager I
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Manager I
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Manager I
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Manager I
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Manager I
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Manager I
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Manager I
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Associate Manager I
Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Manager I
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Associate Manager I
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Manager I
Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Consultant I
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Sr Consultant I
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Sr Consultant I
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Sr Consultant I
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Consultant I
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Sr Consultant I
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Sr Consultant I
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Consultant I
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Sr Consultant I
Margins/Optimizations - Attrition,Attrition Percentage,,Sr Consultant I
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Sr Consultant I
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Sr Consultant I
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Sr Consultant I
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Sr Consultant I
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Sr Consultant I
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Sr Consultant I
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Sr Consultant I
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Sr Consultant I
Employee Experience - Employee Satisfaction,ESAT Index,5,Sr Consultant I
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Sr Consultant I
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Sr Consultant I
Customer Delight - Customer Satisfaction,CSAT Index,15,Associate Specialist II
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Specialist II
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Specialist II
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Specialist II
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Specialist II
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Specialist II
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Specialist II
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Specialist II
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Specialist II
Margins/Optimizations - Attrition,Attrition Percentage,,Associate Specialist II
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Specialist II
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Specialist II
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Specialist II
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Specialist II
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Specialist II
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Specialist II
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Specialist II
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Associate Specialist II
Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Specialist II
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Associate Specialist II
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Specialist II
Customer Delight - Customer Satisfaction,CSAT Index,10,Consultant II
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Consultant II
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Consultant II
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Consultant II
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Consultant II
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Consultant II
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Consultant II
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Consultant II
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Consultant II
Margins/Optimizations - Attrition,Attrition Percentage,,Consultant II
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Consultant II
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Consultant II
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Consultant II
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Consultant II
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Consultant II
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Consultant II
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",20,Consultant II
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Consultant II
Employee Experience - Employee Satisfaction,ESAT Index,5,Consultant II
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Consultant II
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Consultant II
Customer Delight - Customer Satisfaction,CSAT Index,10,Associate Specialist I
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Specialist I
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Specialist I
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Specialist I
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Specialist I
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Specialist I
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Specialist I
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Specialist I
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Specialist I
Margins/Optimizations - Attrition,Attrition Percentage,,Associate Specialist I
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Specialist I
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Specialist I
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Specialist I
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Specialist I
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Specialist I
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Specialist I
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",20,Associate Specialist I
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Associate Specialist I
Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Specialist I
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Associate Specialist I
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Specialist I
Customer Delight - Customer Satisfaction,CSAT Index,10,Consultant I
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Consultant I
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Consultant I
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Consultant I
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Consultant I
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Consultant I
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Consultant I
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Consultant I
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Consultant I
Margins/Optimizations - Attrition,Attrition Percentage,,Consultant I
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Consultant I
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Consultant I
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Consultant I
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Consultant I
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Consultant I
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Consultant I
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",20,Consultant I
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Consultant I
Employee Experience - Employee Satisfaction,ESAT Index,5,Consultant I
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Consultant I
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Consultant I
Customer Delight - Customer Satisfaction,CSAT Index,5,Associate Consultant
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Consultant
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Consultant
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Consultant
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Consultant
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Consultant
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Consultant
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Consultant
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Consultant
Margins/Optimizations - Attrition,Attrition Percentage,,Associate Consultant
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Consultant
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Consultant
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Consultant
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Consultant
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Consultant
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Consultant
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Consultant
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",10,Associate Consultant
Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Consultant
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",15,Associate Consultant
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Consultant
Customer Delight - Customer Satisfaction,CSAT Index,5,Trainee
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Trainee
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Trainee
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Trainee
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Trainee
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Trainee
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Trainee
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Trainee
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Trainee
Margins/Optimizations - Attrition,Attrition Percentage,,Trainee
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Trainee
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Trainee
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Trainee
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Trainee
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Trainee
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Trainee
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Trainee
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",10,Trainee
Employee Experience - Employee Satisfaction,ESAT Index,5,Trainee
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",15,Trainee
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Trainee
Customer Delight - Customer Satisfaction,CSAT Index,5,Associate Trainee
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Trainee
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Trainee
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Trainee
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Trainee
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Trainee
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Trainee
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Trainee
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Trainee
Margins/Optimizations - Attrition,Attrition Percentage,,Associate Trainee
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Trainee
Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Trainee
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Trainee
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Trainee
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Trainee
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Trainee
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Trainee
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",10,Associate Trainee
Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Trainee
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",15,Associate Trainee
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Trainee
Customer Delight - Customer Satisfaction,CSAT Index,15%,Practice Manager
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Practice Manager
Growth/Scale - Revenue,Net new business from existing accounts,10%,Practice Manager
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - $280m),,Practice Manager
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Practice Manager
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Practice Manager
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Practice Manager
Margins/Optimizations - GM Target,Budgeted GM at x% (Percentage to be shared by manager),10%,Practice Manager
Margins/Optimizations - Attrition,Attrition Percentage,,Practice Manager
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Practice Manager
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",10%,Practice Manager
Differentiated Delivery - Productivity,Sum of % Billable and Internal Non billable Approved Utilization annually.Measured based on timesheet data.,10%,Practice Manager
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Practice Manager
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",5%,Practice Manager
Employee Experience - Employee Satisfaction,ESAT Index,15%,Practice Manager
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Practice Manager
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",25%,Practice Manager
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Practice Manager
Customer Delight - Customer Satisfaction,CSAT Index,10%,Project Manager (all regions except ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Project Manager (all regions except ME)
Growth/Scale - Revenue,Achievement of revenue target,20%,Project Manager (all regions except ME)
Growth/Scale - Order Book,Achievement of upsell target,20%,Project Manager (all regions except ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Project Manager (all regions except ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Project Manager (all regions except ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Project Manager (all regions except ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Project Manager (all regions except ME)
Margins/Optimizations - GM Target,Achevement of GM targets,25%,Project Manager (all regions except ME)
Margins/Optimizations - Attrition,Attrition Percentage,,Project Manager (all regions except ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Project Manager (all regions except ME)
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",,Project Manager (all regions except ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,Project Manager (all regions except ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Project Manager (all regions except ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",15%,Project Manager (all regions except ME)
Employee Experience - Employee Satisfaction,ESAT Index,10%,Project Manager (all regions except ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Project Manager (all regions except ME)
Employee Experience - People Quality Mix,"Grading Matrix Target ratio - A+,A,B+,B,C - 5:15:60:15:5",,Project Manager (all regions except ME)
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Project Manager (all regions except ME)
Customer Delight - Customer Satisfaction,CSAT Index,10%,Project Manager (ME)
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Project Manager (ME)
Growth/Scale - Revenue,Achievement of revenue target,25%,Project Manager (ME)
Growth/Scale - Order Book,Achievement of upsell target,,Project Manager (ME)
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Project Manager (ME)
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Project Manager (ME)
Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Project Manager (ME)
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,20%,Project Manager (ME)
Margins/Optimizations - GM Target,Achevement of GM targets,30%,Project Manager (ME)
Margins/Optimizations - Attrition,Attrition Percentage,,Project Manager (ME)
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators,,Project Manager (ME)
Differentiated Delivery - Quality,"1. UAT defects, 2. Period Closing, 3. Rework, 4. Payroll Run, 5. Configuration-No of Iterations/Rework, 6. Integration /Reports/DM- No of Iterations/Rework/SIT Defects/QC, 7. Extension- No of Iterations/Rework/SIT Defects/QC 8. Testing - No of bugs/Defects found/QC",,Project Manager (ME)
Differentiated Delivery - Productivity,Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure,,Project Manager (ME)
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Project Manager (ME)
Differentiated Delivery - Compliance,"Compliance (Processes, Trainings, Audits etc….)",15%,Project Manager (ME)
Employee Experience - Employee Satisfaction,ESAT Index,,Project Manager (ME)
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Project Manager (ME)
