guid,parent_guid,name,metric,weight,roles
8223003,8223000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Principal Specialist
8223004,8223000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Principal Specialist
8223005,8223000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Principal Specialist
8223006,8223000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Principal Specialist
8223007,8223000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Principal Specialist
8223008,8223000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Principal Specialist
8223009,8223000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Principal Specialist
8223010,8223000,Margins/Optimizations - Attrition,Attrition Percentage,5,Principal Specialist
8223011,8223000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Principal Specialist
8223012,8223000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Principal Specialist
8223013,8223000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Principal Specialist
8223014,8223000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",5,Principal Specialist
8223015,8223000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Principal Specialist
8223016,8223000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,10,Principal Specialist
8223017,8223000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",10,Principal Specialist
8223018,8223000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Principal Specialist
8223019,8223000,Employee Experience - Employee Satisfaction,ESAT Index,5,Principal Specialist
8223020,8223000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Principal Specialist
8223021,8223000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Principal Specialist
8224001,8224000,Customer Delight - Customer Satisfaction,CSAT Index,15,Associate Manager II
8224002,8224000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Manager II
8224003,8224000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Manager II
8224004,8224000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Manager II
8224005,8224000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Manager II
8224006,8224000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Manager II
8224007,8224000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Manager II
8224008,8224000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Manager II
8224009,8224000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Manager II
8224010,8224000,Margins/Optimizations - Attrition,Attrition Percentage,,Associate Manager II
8224011,8224000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Manager II
8224012,8224000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Manager II
8224013,8224000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Manager II
8224014,8224000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Manager II
8224015,8224000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Manager II
8224016,8224000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Manager II
8224017,8224000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Manager II
8224018,8224000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Associate Manager II
8224019,8224000,Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Manager II
8224020,8224000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Associate Manager II
8224021,8224000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Manager II
8225001,8225000,Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Consultant II
8225002,8225000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Sr Consultant II
8225003,8225000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Sr Consultant II
8225004,8225000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Sr Consultant II
8225005,8225000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Consultant II
8225006,8225000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Sr Consultant II
8225007,8225000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Sr Consultant II
8225008,8225000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Consultant II
8225009,8225000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Sr Consultant II
8225010,8225000,Margins/Optimizations - Attrition,Attrition Percentage,,Sr Consultant II
8225011,8225000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Sr Consultant II
8225012,8225000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Sr Consultant II
8225013,8225000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Sr Consultant II
8225014,8225000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Sr Consultant II
8225015,8225000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Sr Consultant II
8225016,8225000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Sr Consultant II
8225017,8225000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Sr Consultant II
8225018,8225000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Sr Consultant II
8225019,8225000,Employee Experience - Employee Satisfaction,ESAT Index,5,Sr Consultant II
8225020,8225000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Sr Consultant II
8225021,8225000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Sr Consultant II
8226001,8226000,Customer Delight - Customer Satisfaction,CSAT Index,15,Associate Manager I
8226002,8226000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Manager I
8226003,8226000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Manager I
8226004,8226000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Manager I
8226005,8226000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Manager I
8226006,8226000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Manager I
8226007,8226000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Manager I
8226008,8226000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Manager I
8226009,8226000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Manager I
8226010,8226000,Margins/Optimizations - Attrition,Attrition Percentage,,Associate Manager I
8226011,8226000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Manager I
8226012,8226000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Manager I
8226013,8226000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Manager I
8226014,8226000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Manager I
8226015,8226000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Manager I
8226016,8226000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Manager I
8226017,8226000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Manager I
8226018,8226000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Associate Manager I
8226019,8226000,Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Manager I
8226020,8226000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Associate Manager I
8226021,8226000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Manager I
8227001,8227000,Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Consultant I
8227002,8227000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Sr Consultant I
8227003,8227000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Sr Consultant I
8227004,8227000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Sr Consultant I
8227005,8227000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Consultant I
8227006,8227000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Sr Consultant I
8227007,8227000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Sr Consultant I
8227008,8227000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Consultant I
8227009,8227000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Sr Consultant I
8227010,8227000,Margins/Optimizations - Attrition,Attrition Percentage,,Sr Consultant I
8227011,8227000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Sr Consultant I
8227012,8227000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Sr Consultant I
8227013,8227000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Sr Consultant I
8227014,8227000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Sr Consultant I
8227015,8227000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Sr Consultant I
8227016,8227000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Sr Consultant I
8227017,8227000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Sr Consultant I
8227018,8227000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Sr Consultant I
8227019,8227000,Employee Experience - Employee Satisfaction,ESAT Index,5,Sr Consultant I
8227020,8227000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Sr Consultant I
8227021,8227000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Sr Consultant I
8228001,8228000,Customer Delight - Customer Satisfaction,CSAT Index,15,Associate Specialist II
8228002,8228000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Specialist II
8228003,8228000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Specialist II
8228004,8228000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Specialist II
8228005,8228000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Specialist II
8228006,8228000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Specialist II
8228007,8228000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Specialist II
8228008,8228000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Specialist II
8228009,8228000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Specialist II
8228010,8228000,Margins/Optimizations - Attrition,Attrition Percentage,,Associate Specialist II
8228011,8228000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Specialist II
8228012,8228000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Specialist II
8228013,8228000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Specialist II
8228014,8228000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Specialist II
8228015,8228000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Specialist II
8228016,8228000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Specialist II
8228017,8228000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Specialist II
8228018,8228000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Associate Specialist II
8228019,8228000,Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Specialist II
8228020,8228000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Associate Specialist II
8228021,8228000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Specialist II
8229001,8229000,Customer Delight - Customer Satisfaction,CSAT Index,10,Consultant II
8229002,8229000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Consultant II
8229003,8229000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Consultant II
8229004,8229000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Consultant II
8229005,8229000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Consultant II
8229006,8229000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Consultant II
8229007,8229000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Consultant II
8229008,8229000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Consultant II
8229009,8229000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Consultant II
8229010,8229000,Margins/Optimizations - Attrition,Attrition Percentage,,Consultant II
8229011,8229000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Consultant II
8229012,8229000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Consultant II
8229013,8229000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Consultant II
8229014,8229000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Consultant II
8229015,8229000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Consultant II
8229016,8229000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Consultant II
8229017,8229000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",20,Consultant II
8229018,8229000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Consultant II
8229019,8229000,Employee Experience - Employee Satisfaction,ESAT Index,5,Consultant II
8229020,8229000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Consultant II
8229021,8229000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Consultant II
8230001,8230000,Customer Delight - Customer Satisfaction,CSAT Index,10,Associate Specialist I
8230002,8230000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Specialist I
8230003,8230000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Specialist I
8230004,8230000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Specialist I
8230005,8230000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Specialist I
8230006,8230000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Specialist I
8230007,8230000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Specialist I
8230008,8230000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Specialist I
8230009,8230000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Specialist I
8230010,8230000,Margins/Optimizations - Attrition,Attrition Percentage,,Associate Specialist I
8230011,8230000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Specialist I
8230012,8230000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Specialist I
8230013,8230000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Specialist I
8230014,8230000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Specialist I
8230015,8230000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Specialist I
8230016,8230000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Specialist I
8230017,8230000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",20,Associate Specialist I
8230018,8230000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Associate Specialist I
8230019,8230000,Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Specialist I
8230020,8230000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Associate Specialist I
8230021,8230000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Specialist I
8231001,8231000,Customer Delight - Customer Satisfaction,CSAT Index,10,Consultant I
8231002,8231000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Consultant I
8231003,8231000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Consultant I
8231004,8231000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Consultant I
8231005,8231000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Consultant I
8231006,8231000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Consultant I
8231007,8231000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Consultant I
8231008,8231000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Consultant I
8231009,8231000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Consultant I
8231010,8231000,Margins/Optimizations - Attrition,Attrition Percentage,,Consultant I
8231011,8231000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Consultant I
8231012,8231000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Consultant I
8231013,8231000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Consultant I
8231014,8231000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Consultant I
8231015,8231000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Consultant I
8231016,8231000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Consultant I
8231017,8231000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",20,Consultant I
8231018,8231000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",5,Consultant I
8231019,8231000,Employee Experience - Employee Satisfaction,ESAT Index,5,Consultant I
8231020,8231000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",10,Consultant I
8231021,8231000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Consultant I
8232001,8232000,Customer Delight - Customer Satisfaction,CSAT Index,5,Associate Consultant
8232002,8232000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Consultant
8232003,8232000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Consultant
8232004,8232000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Consultant
8232005,8232000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Consultant
8232006,8232000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Associate Consultant
8232007,8232000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Associate Consultant
8232008,8232000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Consultant
8232009,8232000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Associate Consultant
8232010,8232000,Margins/Optimizations - Attrition,Attrition Percentage,,Associate Consultant
8232011,8232000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Consultant
8232012,8232000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Associate Consultant
8232013,8232000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Associate Consultant
8232014,8232000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Associate Consultant
8232015,8232000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Associate Consultant
8232016,8232000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Associate Consultant
8232017,8232000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Associate Consultant
8232018,8232000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",10,Associate Consultant
8232019,8232000,Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Consultant
8232020,8232000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",15,Associate Consultant
8232021,8232000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Associate Consultant
8233001,8233000,Customer Delight - Customer Satisfaction,CSAT Index,5,Trainee
8233002,8233000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Trainee
8233003,8233000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Trainee
8233004,8233000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Trainee
8233005,8233000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Trainee
8233006,8233000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),,Trainee
8233007,8233000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,,Trainee
8233008,8233000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Trainee
8233009,8233000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,,Trainee
8233010,8233000,Margins/Optimizations - Attrition,Attrition Percentage,,Trainee
8233011,8233000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Trainee
8233012,8233000,Differentiated Delivery - Delivery Right First,Delivery Right First,15,Trainee
8233013,8233000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",5,Trainee
8233014,8233000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",10,Trainee
8233015,8233000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",20,Trainee
8233016,8233000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Trainee
8233017,8233000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",15,Trainee
8233018,8233000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",10,Trainee
8233019,8233000,Employee Experience - Employee Satisfaction,ESAT Index,5,Trainee
8233020,8233000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",15,Trainee
8233021,8233000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Trainee
8234001,8234000,Customer Delight - Customer Satisfaction,CSAT Index,5,Associate Trainee
8234002,8234000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Associate Trainee
8234003,8234000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),,Associate Trainee
8234004,8234000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),,Associate Trainee
8234005,8234000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Associate Trainee
